No.,Partner Instansi,Negara,Alamat,Jumlah Mitra,MoU,MoA,IA,Agenda  Kerjasama,Bergelar (JD/DD),TANPA Gelar,Student Exchange,Tgl Tanda Tangan,Tgl Berakhir,Tanggal Auto Renewed/No Limit/Years to come,Pendidikan Luar Negeri,Industri Luar Negeri,Organisasi Luar Negeri,Yayasan Luar Negeri,Pemerintah Luar Negeri,Faculty of Humanities and Creative Industries,,,,,,,,Faculty of Civil Engineering & Planning,,,,,School of Business & Management,,,,,,,,,,,,,Faculty of Industrial Technology,,,,,,Faculty of Teacher Education,,Faculty of Medicine,Faculty of Dentistry,Bureau,,,,,,,,,,Scope of Collaboration,,,,
149,"SolBridge International School of Business (Woosong University), Korea",Korea,"128, Uam-ro (151-13, Samsung-dong), Dong-gu, Daejeon 34613",FALSE,FALSE,TRUE,FALSE,MoA: Student Exchange,,1,1,1-May-11,30-Apr-14,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
150,"Soongsil University, Seoul, Korea",Korea,"Soongsil University 369 Sangdo-Ro, Dongjak-Gu, Seoul, Korea (156-743)",TRUE,TRUE,FALSE,FALSE,"MoU: 1. Exchange of faculty, researchers, and administrative staffs
2. Exchange of students
3. Collaborative research projects
4. Lectures ans symposia
5. Exchange os academic information and materials",,1,,31-Aug-11,auto renewed,30-Aug-16,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
151,"Soongsil University, Seoul, Korea",Korea,"Soongsil University 369 Sangdo-Ro, Dongjak-Gu, Seoul, Korea (156-743)",FALSE,FALSE,TRUE,FALSE,MoA: Student Exchange,,1,1,31-Aug-11,30-Aug-14,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
152,"Woosong University, Rep. of Korea",Korea,"17-2, Jayang-dong, Dong-gu, Daejeon, Korea 300-718",TRUE,TRUE,FALSE,FALSE,"MoU: Exchange faculty and lecturers, Double Degree, Joint Research",,1,,3-Nov-10,auto renewed,2-Nov-15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
153,"Woosong University, Rep. of Korea",Korea,"17-2, Jayang-dong, Dong-gu, Daejeon, Korea 300-718",FALSE,FALSE,TRUE,FALSE,MoA: Overseas Culinary Traditions,,1,,31-Dec-13,24-Jan-14,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
154,"Woosong University, Rep. of Korea",Korea,"17-2, Jayang-dong, Dong-gu, Daejeon, Korea 300-718",FALSE,FALSE,TRUE,FALSE,MoA: Academic collaboration in Culinary Arts courses and internship,,1,,1-Jul-13,auto renewed,30-Jun-14,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
155,"Woosong University, Rep. of Korea",Korea,"17-2, Jayang-dong, Dong-gu, Daejeon, Korea 300-718",FALSE,FALSE,TRUE,FALSE,MoA: Academic collaboration in Culinary Arts courses and internship,,1,,1-Jul-15,end,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
156,"Woosong University, Rep. of Korea",Korea,"171 Dongdaejeon-ro (155-3 Jayang-dong), Dong-gu, Daejeon, Republic of Korea (34606)",FALSE,FALSE,TRUE,FALSE,MoA: Academic collaboration in Culinary Arts courses and internship,,1,,15-Jan-20,auto renewed,14-Jan-23,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
157,"Yonsei University, Seoul",Korea,"50 Yonsei-ro Seodaemun-gu, Seoul, 03722, Republic of Korea",TRUE,FALSE,TRUE,FALSE,MoA: Student Visiting Program (Study Abroad),,1,,9-Apr-20,8-Apr-25,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
158,"Mykolas Romeris University, Lithuania",Lithuania,"Ateities st. 20, LT-08303 Vilnius",TRUE,TRUE,FALSE,FALSE,"MoU: 1. exchange of faculty members, research scholars, and students
2. exchange of lecturers/presentations including scientific materials, publications, and information
3. joint research activitites and publication, conferences, academic programs, and cultural activities
4. joint research projects and joint courses of study ",,1,,9-Oct-13,8-Oct-18,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
159,"Mykolas Romeris University, Lithuania",Lithuania,"Ateities st. 20, LT-08303 Vilnius",FALSE,TRUE,FALSE,FALSE,"MoU: 1. Exchange of Faculty Members, Research Scholars and Students
2. Exchange of lectures/presentations via video teleconference activities; including scientific materials, publications, and information
3. Joint research activities and publications, conferences, academic programs, and cultural activities
4. Joint research projects and joint courses of study",,1,,8-Nov-18,auto renewed,7-Nov-23,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
160,"Casa del Rio Melaka, Malaysia",Malaysia,"88, Jalan Kota Laksamana 75200",TRUE,TRUE,FALSE,FALSE,MoU: Student Placement Agreement (PKL),,,,2-Dec-11,1-Sep-12,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
161,"Casa del Rio Melaka, Malaysia",Malaysia,"88, Jalan Kota Laksamana 75200",FALSE,TRUE,FALSE,FALSE,MoU: Student Placement Agreement (PKL),,,,13-Nov-12,1-Sep-13,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
162,"Casa del Rio Melaka, Malaysia",Malaysia,"88, Jalan Kota Laksamana 75200",FALSE,TRUE,FALSE,FALSE,MoU: Student Placement Agreement (PKL),,,,25-Sep-13,1-Sep-14,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
163,"Casa Del Rio Melaka, Malaysia",Malaysia,"88, Jalan Kota Laksamana 75200 Melaka",FALSE,FALSE,TRUE,FALSE,MoA: internship program,,,,3-Apr-18,2-Apr-20,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
164,"Concorde Hotel Kuala Lumpur, Malaysia",Malaysia,"2 Jalan Sultan Ismail, 50250",TRUE,FALSE,TRUE,FALSE,MoA: Student Placement Agreement (PKL),,1,,15-May-17,14-May-19,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
165,"Concorde Hotel Kuala Lumpur, Malaysia",Malaysia,"2 Jalan Sultan Ismail, 50250",FALSE,FALSE,TRUE,FALSE,MoA: Student Placement Agreement (PKL),,,,25-Sep-13,1-Aug-14,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
166,"Concorde Hotel Kuala Lumpur, Malaysia",Malaysia,"2 Jalan Sultan Ismail, 50250",FALSE,FALSE,TRUE,FALSE,MoA: Student Placement Agreement (PKL),,,,8-Aug-11,1-Aug-12,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
167,"Concorde Hotel Kuala Lumpur, Malaysia",Malaysia,"2 Jalan Sultan Ismail, 50250",FALSE,FALSE,TRUE,FALSE,MoA: Student Placement Agreement (PKL),,,,13-Nov-12,1-Jun-13,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
168,"Concorde Hotel Kuala Lumpur, Malaysia",Malaysia,"2 Jalan Sultan Ismail, 50250",FALSE,FALSE,TRUE,FALSE,MoA: Student Placement Agreement (PKL),,,,1-Feb-07,8-Aug-07,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
169,"Concorde Hotel, Shah Alam, Malaysia",Malaysia,"Jalan Tengku Ampuan Zabedah C9/C, 40100",TRUE,FALSE,TRUE,FALSE,MoA: Student Placement Agreement (PKL),,,,13-Nov-12,1-Aug-13,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
170,"Damai Puri Resort & Spa Kuching, Serawak, Malaysia",Malaysia,Teluk Penyuk Santubong P O Box 3058 93762 Kuching,TRUE,TRUE,FALSE,FALSE,MoA: Student Placement Agreement (PKL),,,,25-Jun-10,24-Jun-11,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
171,"Dongseo University, Korea",Korea,"47 Jurye-ro, Sasang-gu, Busan 617-716",FALSE,FALSE,TRUE,FALSE,MoA: Joint Degree 3+1 (Film & VFX Major),1,,,5-Oct-20,4-Oct-25,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
172,"J&C Homes Hotels SDN. BHD. (Sheraton Petaling Jaya Hotel), Malaysia",Malaysia,J&C Homes Hotels SDN. BHD. (Sheraton Petaling Jaya Hotel),TRUE,FALSE,TRUE,FALSE,MoA: internship program,,,,28-Mar-18,27-Mar-19,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
173,"SOFITEL Palm Resort, Johor, Malaysia",Malaysia,"Jalan Persiaran Golf, Off Jalan Jumbo, 81250 Senai Johor",TRUE,TRUE,FALSE,FALSE,MoU: Traineeship Agreement,,,,17-Mar-03,6-Jan-04,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
174,"SOFITEL Palm Resort, Johor, Malaysia",Malaysia,"Jalan Persiaran Golf, Off Jalan Jumbo, 81250 Senai Johor",FALSE,TRUE,FALSE,FALSE,MoU: Traineeship Agreement,,,,5-Dec-05,1-Feb-06,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
175,"Sunway Resort Hotel & Spa, Petaling Jaya, Malaysia",Malaysia,"Persiaran Lagoon, Bandar Sunway 47500 Selangor Darul Ehsan",TRUE,TRUE,FALSE,FALSE,MoU: Student Placement Agreement (PKL),,,,16-Feb-10,1-Jan-11,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
176,"Sunway Resort Hotel & Spa, Petaling Jaya, Malaysia",Malaysia,"Persiaran Lagoon, Bandar Sunway 47500 Selangor Darul Ehsan",FALSE,TRUE,FALSE,FALSE,MoU: Student Placement Agreement (PKL),,,,8-Mar-10,7-Mar-11,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
177,"Sunway Resort Hotel & Spa, Petaling Jaya, Malaysia",Malaysia,"Persiaran Lagoon, Bandar Sunway 47500 Selangor Darul Ehsan",FALSE,FALSE,FALSE,FALSE,MoU: Student Placement Agreement (PKL),,,,3-Jan-12,31-Dec-12,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
178,"UCSI University, Malaysia",Malaysia,"No. 1, Jalan Menara Gading UCSI Heights, 56000 Cheras, Kuala Lumpur",TRUE,TRUE,FALSE,FALSE,"MoU: 1. exchange of faculty members, research scholars, and students
2. exchange of lectures/presentations including scientific materials, publications, and information
3. joint research activities and publications, conferences, academic programs, and cultural activities
4. joint research projects and joint courses of study
5.student mobility to obatin dual degree ",,1,,30-Sep-19,auto renewed,29-Sep-22,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
179,"Universiti Malaysia Perlis (UniMAP), Malaysia",Malaysia,"1,2,9,10 and 11th floor, Bangunan KWSP, Jalan Bukit Lagi, 01000 Kangar, Perlis",TRUE,TRUE,FALSE,FALSE,"MoU: 1. Exchange of faculty members, research scholars & students;
2. Exchange of lectures/presentations, scientific materials, publications, and information;
3. Joint research activities and publications, conferences, academic programs, and cultural activities;
4. Joint research projects and joint course of study.",,1,,2-Jul-19,auto renewed,1-Jul-24,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
180,"Universiti Malaysia Perlis (UniMAP), Malaysia",Malaysia,"1,2,9,10 and 11th floor, Bangunan KWSP, Jalan Bukit Lagi, 01000 Kangar, Perlis",FALSE,FALSE,FALSE,FALSE,"MoU: 1. Promote induvidual contacts among scholars, students, and personnel
2. Promote links in teaching, research, and cultural activities
3. Support exchange os academic materials
4. Develop joint stude programs",,1,,26-Sep-11,25-Sep-16,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
